"Story","Title","Result","Date","Stability","Duration (s)"
"Test create new member","Test create new member","SUCCESS","2022-08-06T10:38:38.509+07:00[Asia/Bangkok]","0.0","8.45"
"Test search member","Test search member by email","SUCCESS","2022-08-06T10:38:47.792+07:00[Asia/Bangkok]","0.0","3.34"
